MEDIA_NAME,USER_ID,SPECIFIC_CATEGORY,MACRO_CATEGORY,CORRECT_ANSWER,USER_ANSWER,ANSWER_TIME
NewMedia1,USER_1,Critical Thinking,Textual,b,a,58.58481
NewMedia11,USER_1,Inductive Reasoning,Graphical,b,b,37.3974
NewMedia12,USER_1,Inductive Reasoning,Graphical,d,d,39.72852
NewMedia10,USER_1,Inductive Reasoning,Graphical,d,a,56.80237
NewMedia7,USER_1,Diagrammatic Reasoning,Graphical,b,b,76.25513
NewMedia2,USER_1,Critical Thinking,Textual,a,b,50.55969
NewMedia15,USER_1,Logical Reasoning,Graphical,c,c,29.50592
NewMedia23,USER_1,Verbal Reasoning,Textual,d,d,87.61511
NewMedia5,USER_1,Deductive Reasoning,Textual,b,c,100.5238
NewMedia18,USER_1,Mechanical Reasoning,Graphical,a,b,37.87256
NewMedia22,USER_1,Verbal Reasoning,Textual,d,a,120.16248
NewMedia17,USER_1,Mechanical Reasoning,Graphical,b,b,19.82727
NewMedia14,USER_1,Logical Reasoning,Graphical,a,a,41.45667
NewMedia8,USER_1,Diagrammatic Reasoning,Graphical,c,b,68.50464
NewMedia6,USER_1,Deductive Reasoning,Textual,a,a,90.68311
NewMedia24,USER_1,Verbal Reasoning,Textual,b,b,74.63428
NewMedia16,USER_1,Mechanical Reasoning,Graphical,b,b,7.24011
NewMedia9,USER_1,Diagrammatic Reasoning,Graphical,b,b,73.64233
NewMedia13,USER_1,Logical Reasoning,Graphical,d,a,81.28528
NewMedia21,USER_1,Spatial Reasoning,Graphical,b,b,44.0686
NewMedia19,USER_1,Spatial Reasoning,Graphical,b,d,60.01807
NewMedia4,USER_1,Deductive Reasoning,Textual,a,a,71.80042
NewMedia20,USER_1,Spatial Reasoning,Graphical,c,c,40.02332
NewMedia3,USER_1,Critical Thinking,Textual,a,a,45.30103
NewMedia12,USER_2,Inductive Reasoning,Graphical,d,d,11.05951
NewMedia20,USER_2,Spatial Reasoning,Graphical,c,d,24.75739
NewMedia15,USER_2,Logical Reasoning,Graphical,c,c,16.41144
NewMedia1,USER_2,Critical Thinking,Textual,b,a,46.71515
NewMedia4,USER_2,Deductive Reasoning,Textual,a,a,60.23199
NewMedia17,USER_2,Mechanical Reasoning,Graphical,b,b,18.20599
NewMedia24,USER_2,Verbal Reasoning,Textual,b,b,94.72266
NewMedia14,USER_2,Logical Reasoning,Graphical,a,d,54.47827
NewMedia21,USER_2,Spatial Reasoning,Graphical,b,d,33.51904
NewMedia11,USER_2,Inductive Reasoning,Graphical,b,b,42.09277
NewMedia5,USER_2,Deductive Reasoning,Textual,b,c,21.20044
NewMedia3,USER_2,Critical Thinking,Textual,a,b,32.52747
NewMedia6,USER_2,Deductive Reasoning,Textual,a,a,51.59839
NewMedia7,USER_2,Diagrammatic Reasoning,Graphical,b,b,51.47668
NewMedia2,USER_2,Critical Thinking,Textual,a,a,21.68298
NewMedia9,USER_2,Diagrammatic Reasoning,Graphical,b,b,31.1344
