index,model,label,input,loss_type,optimizer_type,dense_input,dense_input_dim,dense_input_activation,dense_output_activation,lstm_units,cnn_fiters,cnn_kernel,cnn_pool_size,dropout,dropout_value
0,CNN2D_LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
1,CNN2D_LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,256,8,4,1,0.2
2,CNN1D_LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
3,CNN1D_LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,256,8,4,1,0.2
4,CNN2D,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,,256,8,4,1,0.2
4,CNN2D,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,,256,8,4,1,0.2
5,LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,,,,1,0.2
6,LSTM,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,,,,1,0.2
7,CNN1D,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,,256,8,4,1,0.2
8,CNN1D,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,,256,8,4,1,0.2
9,CNN1D_LSTM_3DENSE,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
10,CNN1D_LSTM_3DENSE,TIMES_ONLY_V2,-1_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,256,8,4,1,0.2
11,CNN2D_LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
12,CNN2D_LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,256,8,4,1,0.2
13,CNN1D_LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
14,CNN1D_LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,256,8,4,1,0.2
15,CNN2D,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,,256,8,4,1,0.2
15,CNN2D,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,,256,8,4,1,0.2
16,LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,,,,1,0.2
17,LSTM,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,64,,,,1,0.2
18,CNN1D,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,,256,8,4,1,0.2
19,CNN1D,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,1,2645,relu,relu,,256,8,4,1,0.2
20,CNN1D_LSTM_3DENSE,TIMES_ONLY_V2,0_1_OVERSAMPLED,mean_squared_error,adam,0,,,relu,64,256,8,4,1,0.2
