time,MEDIA_ID,delta,FPOGX
2.1,,0.01186,0.24514
3.1,,0.01203,0.3019
4.1,,0.00573,0.30141
5.1,,0.00484,0.24644
6.1,,0.39744,0.37435
7.1,,0.01423,0.33043
8.1,,0.07256,0.23254
9.2,,0.05744,0.44116
10.2,,0.26999,0.25895
11.2,,0.00661,0.47814
12.2,,0.09692,0.25181
13.2,,0.00302,0.42956
14.2,,0.23389,0.22528
15.3,,0.17863,0.35398
16.3,,0.02812,0.49571
17.3,,0.00035,0.28288
18.3,,0.06935,0.49171
19.3,,0.05203,0.42752
20.4,,0.05465,0.53674
21.4,,0.01542,0.30625
22.4,,0.02482,0.47311
23.4,,0.00202,0.27461
24.4,,0.01092,0.55157
25.4,,0.01967,0.29945
26.4,,0.01178,0.23352
27.5,,0.01928,0.28081
28.5,,0.00961,0.22037
29.5,,0.11199,0.39193
30.5,,0.05474,0.30066
31.5,,0.04783,0.22582
32.5,,1e-05,0.3078
33.6,,0.02587,0.26609
34.6,,0.0062,0.2593
35.6,,0.04237,0.20747
36.6,,0.26125,0.26806
37.6,,0.67145,0.221
38.6,,0.06678,0.22007
39.7,,0.10571,0.31909
40.7,,0.13111,0.30174
41.7,,0.00621,0.56544
42.7,,0.04989,0.41639
43.7,,0.00939,0.28052
44.7,,0.11693,0.43638
45.7,,0.01369,0.59531
46.8,,0.0375,0.34353
47.8,,0.08424,0.39809
48.8,,0.03075,0.21831
49.8,,0.10658,0.34877
50.8,,0.01098,0.43734
51.9,,0.07847,0.3623
52.9,,0.10678,0.51145
53.9,,0.04605,0.40645
54.9,,0.0005,0.25356
55.9,,0.01591,0.36311
56.9,,0.02117,0.33591
57.9,,0.01073,0.54236
59.0,,0.07164,0.41194
60.0,,0.00024,0.37196
61.0,,0.06719,0.3908
62.0,,0.18407,0.2753
63.1,,4e-05,0.43713
64.1,,0.01554,0.36681
65.1,,0.05993,0.46161
66.1,,0.02365,0.50906
67.1,,0.12249,0.22156
68.1,,0.01351,0.44783
69.2,,0.1048,0.11153
70.2,,0.01469,0.22536
71.2,,0.03829,0.4577
72.2,,0.14634,0.20797
73.2,,0.13939,0.45586
74.2,,0.00067,0.22666
75.2,,0.06197,0.6053
76.2,,0.03349,0.19117
77.3,,3e-05,0.39863
78.3,,0.34468,0.81819
79.3,,0.13319,0.47888
80.3,,0.04174,0.59362
81.3,,0.09654,0.45152
82.3,,0.21136,0.23261
83.3,,0.02163,0.47551
84.3,,0.22565,0.20782
85.3,,0.22543,0.58859
86.3,,0.10732,0.35235
87.4,,0.07059,0.29806
88.4,,0.01102,0.44377
89.4,,0.04815,0.612
90.4,,0.0509,0.36981
91.4,,0.00032,0.56265
92.4,,0.03197,0.62154
93.4,,0.01362,0.51869
94.4,,0.01929,0.15749
95.4,,0.02052,0.48843
96.4,,0.07057,0.26028
97.4,,0.01522,0.46869
98.5,,0.01663,0.1948
99.5,,0.03084,0.20334
100.5,,0.23933,0.22033
101.5,,0.20401,0.17463
102.5,,1e-05,0.16015
103.5,,0.12368,0.19769
104.5,,0.04088,0.22152
105.5,,0.04701,0.18688
106.5,,0.00881,0.15897
107.6,,0.17847,0.34398
108.6,,0.37083,0.20802
109.6,,0.10445,0.49983
110.6,,0.12152,0.50031
111.6,,0.01574,0.59166
112.6,,0.16901,0.60736
113.6,,0.17958,0.59255
114.6,,0.04678,0.65544
115.6,,0.17131,0.37226
116.7,,0.01517,0.1595
117.7,,0.00764,0.3388
118.7,,0.07544,0.49506
119.7,,0.17787,0.32941
120.7,,0.17111,0.59608
121.7,,0.09482,0.6059
122.7,,0.08113,0.63434
123.8,,0.28991,0.67125
124.8,,0.02391,0.62547
125.8,,0.00168,0.60271
126.8,,0.02082,0.59796
127.8,,0.0092,0.76221
128.8,,0.04066,0.8387
129.9,,0.02647,0.73629
130.9,,0.08524,0.72489
131.9,,0.01232,0.49947
132.9,,0.17773,0.1924
133.9,,0.00676,0.17097
134.9,,0.0004,0.33074
